Instance;Model_LB;Model_UB;Literature_LB;Literature_UB;Solve_time
d801600;97034,00000000007;97222,0;97034,0;97035,0;300,0140571594238
e05100;12680,0;12681,0;12681,0;12681,0;0,6910247802734375
e05200;24928,0;24930,0;24929,0;24930,0;0,11000442504882812
e10100;11576,0;11577,0;11576,0;11577,0;16,261003494262695
e10200;23305,0;23307,0;23305,0;23307,0;13,903974533081055
e10400;45745,0;45749,0;45745,0;45746,0;11,884929656982422
e15900;102419,09087597641;102428,0;102420,0;102421,0;61,13804817199707
e20100;8436,0;8436,0;8436,0;8436,0;9,034936904907227
e201600;180643,0;180661,0;180644,0;180646,0;13,049999237060547
e20200;22377,0;22379,0;22378,0;22379,0;12,079999923706055
e20400;44876,0;44880,0;44876,0;44877,0;24,865957260131836
e30900;100427,0;100437,0;100426,0;100429,0;34,00118827819824
e401600;178291,0;178308,0;178293,0;178294,0;194,8105812072754
e40400;44558,0;44564,0;44560,0;44562,0;300,00099754333496
e60900;100143,0;100258,99997985759;100147,0;100153,0;300,00773429870605
e801600;176813,0;176888,0;176816,0;176826,0;300,0167541503906
